Time (years BP)	RSL (m)
0	0
500	-0.247
1000	-0.437
1500	-0.76
2000	-1.105
2500	-1.544
3000	-2.027
3500	-2.51
4000	-3.063
4500	-4.344
5000	-5.645
5500	-7.107
6000	-8.722
6500	-11.159
7000	-13.13
7500	-16.083
8000	-19.748
8500	-24.402
9000	-31.435
9500	-35.857
10000	-42.544
11000	-56.835
11500	-72.696
12000	-75.216
12500	-79.552
13000	-84.617
13500	-88.379
14000	-93.75
14500	-92.449
15000	-87.526
15500	-87.48
16000	-89.878
16500	-92.573
17000	-97.912
18000	-111.64
19000	-121.85
20000	-127.4
