Distance	Elevation
0	0
17.25502308	0.041
18.62268312	0.085
19.15303487	0.109
20.15516726	0.18
21.87628986	0.073
23.83453714	-0.031
25.6527401	-0.006
26.56306202	0.004
27.53421552	-0.12
29.25391775	-0.293
31.04758594	-0.341
34.84171839	-0.212
36.00373232	-0.086
36.38636732	-0.054
40.26898521	-0.173
42.18971467	-0.189
44.7614105	-0.311
45.82714593	-0.445
47.06388374	-0.526
50.34439161	-0.338
52.04826553	-0.093
53.62577168	-0.063
55.46003071	-0.071
56.93669053	-0.217
60.48565875	-0.159
61.98842158	-0.212
63.96866389	-0.469
64.32823797	-0.382
65.86079314	-0.509
68.29296929	-0.397
68.95689175	-0.409
70.75074269	-0.607
71.77013154	-0.511
72.76438094	-0.653
75.60947513	-0.628
76.86243313	-0.589
79.08450749	-0.473
79.10763044	-0.693
79.92102042	-0.592
115.4750866	-0.324
120.2844549	-0.594
127.763784	0.009
131.4803919	-0.019
134.3573396	0.566
135.4833364	0.013
137.6527397	0.133
138.7441679	1.611
141.7554827	0.153
148.2657802	0.341
150.0314652	0.714
152.8445366	0.542
155.581234	0.643
160.931615	0.351
161.5434326	0.373
166.6288214	0.621
170.3488861	0.238
174.3891075	-0.262
175.8044987	0.635
179.2143848	0.008
183.766581	0.39
185.6282157	0.494
188.7290115	0.389
189.0191402	0.238
190.6876345	0.756
191.3085492	0.387
191.8949475	0.201
193.0484317	0.309
194.1692885	1.213
195.6114228	0.859
196.7057171	1.209
196.7680937	-0.034
201.1736302	0.415
201.4051472	-0.02
204.8962497	-0.166
206.0199856	-0.207
206.193326	0.344
209.4613158	0.47
215.6538726	-0.175
217.3255742	-0.33
218.0583339	-0.258
220.9244068	0.817
223.9248051	-0.088
234.7961105	-0.328
238.1181403	0.121
238.3015892	0.33
244.1662267	0.21
244.8697105	0.037
246.5402909	-0.674
250.2352811	-0.512
253.7727687	-0.273
256.1977919	0.037
256.2539752	0.048
260.7501406	0.72
264.465667	0.475
264.603814	0.499
268.3128584	0.5
277.2899261	-0.083
286.8058025	0.072
